,0,1,2,3,4
89,1,0,4,2,1
90,1,6,3,1,0
91,0,6,2,0,1
92,0,5,1,3,1
93,0,4,0,2,1
94,0,3,6,1,2
95,1,2,6,0,1
96,1,1,5,6,2
97,2,0,4,6,1
98,2,1,3,5,1
99,2,0,2,4,1
100,2,5,1,3,1
101,2,4,0,2,1
102,2,3,5,1,0
103,1,2,4,0,1
104,1,1,3,6,2
105,2,0,2,6,1
106,2,3,1,5,1
107,2,2,0,4,1
108,2,1,6,3,0
109,1,0,6,2,1
110,1,6,6,1,0
111,0,6,6,0,1
112,0,6,5,1,1
113,0,6,4,0,1
114,0,6,3,1,1
115,0,6,2,0,1
116,0,6,1,5,1
117,0,6,0,4,1
118,0,6,1,3,1
119,0,6,0,2,1
120,0,5,3,1,1
121,0,4,2,0,1
122,0,3,1,6,1
123,0,2,0,6,1
124,0,1,3,6,2
125,1,0,2,6,2
126,2,3,1,5,1
127,2,2,0,4,1
128,2,1,5,3,0
129,1,0,4,2,1
130,1,6,3,1,0
131,0,6,2,0,1
132,0,6,1,6,1
133,0,6,0,6,1
134,0,6,1,6,1
135,0,6,0,6,1
136,0,6,1,6,1
137,0,6,0,6,1
138,0,5,1,6,1
139,0,4,0,6,1
140,0,3,1,6,1
141,0,2,0,6,1
142,0,1,3,5,2
143,1,0,2,4,2
144,2,6,1,3,1
145,2,6,0,2,1
146,2,5,3,1,0
147,1,4,2,0,0
148,0,3,1,6,1
149,0,2,0,6,1
150,0,1,3,6,2
151,1,0,2,6,2
152,2,3,1,6,1
153,2,2,0,6,1
154,2,1,5,6,1
155,2,0,4,6,1
156,2,1,3,6,1
157,2,0,2,6,1
158,2,3,1,6,1
159,2,2,0,6,1
160,2,1,3,6,1
161,2,0,2,6,1
162,2,5,1,6,1
163,2,4,0,6,1
164,2,3,1,6,1
165,2,2,0,6,1
166,2,1,3,6,1
167,2,0,2,6,1
168,2,3,1,5,1
169,2,2,0,4,1
170,2,1,6,3,0
171,1,0,6,2,1
172,1,6,5,1,0
173,0,6,4,0,1
174,0,5,3,1,1
175,0,4,2,0,1
176,0,3,1,6,1
177,0,2,0,6,1
178,0,1,5,6,2
179,1,0,4,6,2
180,2,1,3,6,1
181,2,0,2,6,1
182,2,5,1,6,1
183,2,4,0,6,1
184,2,3,1,6,1
185,2,2,0,6,1
186,2,1,6,6,0
187,1,0,6,6,1
188,1,1,6,5,1
189,1,0,6,4,1
190,1,1,5,3,1
191,1,0,4,2,1
192,1,5,3,1,0
193,0,4,2,0,1
194,0,3,1,6,1
195,0,2,0,6,1
196,0,1,6,5,2
197,1,0,6,4,1
198,1,1,6,3,1
199,1,0,6,2,1
200,1,3,5,1,1
201,1,2,4,0,1
202,1,1,3,6,2
203,2,0,2,6,1
204,2,3,1,6,1
205,2,2,0,6,1
206,2,1,5,6,1
207,2,0,4,6,1
208,2,1,3,6,1
209,2,0,2,6,1
210,2,3,1,6,1
211,2,2,0,6,1
212,2,1,6,5,0
213,1,0,6,4,1
214,1,1,6,3,1
215,1,0,6,2,1
216,1,5,6,1,1
217,1,4,6,0,1
218,1,3,5,1,1
219,1,2,4,0,1
220,1,1,3,6,2
221,2,0,2,6,1
222,2,5,1,6,1
223,2,4,0,6,1
224,2,3,1,6,1
225,2,2,0,6,1
226,2,1,6,5,0
227,1,0,6,4,1
228,1,1,5,3,1
229,1,0,4,2,1
230,1,5,3,1,0
231,0,4,2,0,1
232,0,3,1,6,1
233,0,2,0,6,1
234,0,1,6,6,2
235,1,0,6,6,1
236,1,1,6,5,1
237,1,0,6,4,1
238,1,1,6,3,1
239,1,0,6,2,1
240,1,6,5,1,0
241,0,6,4,0,1
242,0,6,3,1,1
243,0,6,2,0,1
244,0,6,1,6,1
245,0,6,0,6,1
246,0,6,1,5,1
247,0,6,0,4,1
248,0,6,1,3,1
249,0,6,0,2,1
250,0,6,3,1,1
251,0,6,2,0,1
252,0,6,1,3,1
253,0,6,0,2,1
254,0,5,6,1,2
255,1,4,6,0,1
256,1,3,5,1,1
257,1,2,4,0,1
258,1,1,3,5,2
259,2,0,2,4,1
260,2,5,1,3,1
261,2,4,0,2,1
262,2,3,6,1,0
263,1,2,6,0,1
264,1,1,5,6,2
265,2,0,4,6,1
266,2,1,3,5,1
267,2,0,2,4,1
268,2,6,1,3,1
269,2,6,0,2,1
270,2,6,5,1,0
271,1,6,4,0,0
272,0,6,3,1,1
273,0,6,2,0,1
274,0,6,1,3,1
275,0,6,0,2,1
276,0,5,3,1,1
277,0,4,2,0,1
278,0,3,1,5,1
279,0,2,0,4,1
280,0,1,5,3,2
281,1,0,4,2,1
282,1,6,3,1,0
283,0,6,2,0,1
284,0,5,1,6,1
285,0,4,0,6,1
286,0,3,1,6,1
287,0,2,0,6,1
288,0,1,3,5,2
289,1,0,2,4,2
290,2,6,1,3,1
291,2,6,0,2,1
292,2,6,5,1,0
293,1,6,4,0,0
294,0,5,3,1,1
295,0,4,2,0,1
296,0,3,1,5,1
297,0,2,0,4,1
298,0,1,5,3,2
299,1,0,4,2,1
300,1,5,3,1,0
301,0,4,2,0,1
302,0,3,1,6,1
303,0,2,0,6,1
304,0,1,6,5,2
305,1,0,6,4,1
306,1,1,5,3,1
307,1,0,4,2,1
308,1,6,3,1,0
309,0,6,2,0,1
310,0,6,1,3,1
311,0,6,0,2,1
312,0,6,3,1,1
313,0,6,2,0,1
314,0,5,1,3,1
315,0,4,0,2,1
316,0,3,6,1,2
317,1,2,6,0,1
318,1,1,5,3,1
319,1,0,4,2,1
320,1,6,3,1,0
321,0,6,2,0,1
322,0,6,1,6,1
323,0,6,0,6,1
324,0,5,1,6,1
325,0,4,0,6,1
326,0,3,1,6,1
327,0,2,0,6,1
328,0,1,3,6,2
329,1,0,2,6,2
330,2,6,1,6,1
331,2,6,0,6,1
332,2,6,1,6,1
333,2,6,0,6,1
334,2,6,1,6,1
335,2,6,0,6,1
336,2,5,1,6,1
337,2,4,0,6,1
338,2,3,1,6,1
339,2,2,0,6,1
340,2,1,3,6,1
341,2,0,2,6,1
342,2,3,1,6,1
343,2,2,0,6,1
344,2,1,3,6,1
345,2,0,2,6,1
346,2,3,1,6,1
347,2,2,0,6,1
348,2,1,6,5,0
349,1,0,6,4,1
350,1,1,6,3,1
351,1,0,6,2,1
352,1,6,5,1,0
353,0,6,4,0,1
354,0,6,3,1,1
355,0,6,2,0,1
356,0,6,1,3,1
357,0,6,0,2,1
358,0,6,3,1,1
359,0,6,2,0,1
360,0,6,1,6,1
361,0,6,0,6,1
362,0,6,1,5,1
363,0,6,0,4,1
364,0,5,1,3,1
365,0,4,0,2,1
366,0,3,5,1,2
367,1,2,4,0,1
368,1,1,3,5,2
369,2,0,2,4,1
370,2,6,1,3,1
371,2,6,0,2,1
372,2,6,3,1,0
373,1,6,2,0,0
374,0,5,1,6,1
375,0,4,0,6,1
376,0,3,1,6,1
377,0,2,0,6,1
378,0,1,3,6,2
379,1,0,2,6,2
380,2,6,1,5,1
381,2,6,0,4,1
382,2,5,1,3,1
383,2,4,0,2,1
384,2,3,6,1,0
385,1,2,6,0,1
386,1,1,6,6,1
387,1,0,6,6,1
388,1,1,5,6,2
389,2,0,4,6,1
390,2,1,3,5,1
391,2,0,2,4,1
392,2,6,1,3,1
393,2,6,0,2,1
394,2,6,3,1,0
395,1,6,2,0,0
396,0,6,1,6,1
397,0,6,0,6,1
398,0,6,1,5,1
399,0,6,0,4,1
400,0,6,1,3,1
401,0,6,0,2,1
402,0,6,3,1,1
403,0,6,2,0,1
404,0,5,1,6,1
405,0,4,0,6,1
406,0,3,1,5,1
407,0,2,0,4,1
408,0,1,5,3,2
409,1,0,4,2,1
410,1,6,3,1,0
411,0,6,2,0,1
412,0,6,1,3,1
413,0,6,0,2,1
414,0,6,5,1,1
415,0,6,4,0,1
416,0,6,3,1,1
417,0,6,2,0,1
418,0,5,1,6,1
419,0,4,0,6,1
420,0,3,1,6,1
421,0,2,0,6,1
422,0,1,6,6,2
423,1,0,6,6,1
424,1,1,6,6,1
425,1,0,6,6,1
426,1,1,6,5,1
427,1,0,6,4,1
428,1,1,5,3,1
429,1,0,4,2,1
430,1,6,3,1,0
431,0,6,2,0,1
432,0,6,1,6,1
433,0,6,0,6,1
434,0,6,1,6,1
435,0,6,0,6,1
436,0,6,1,6,1
437,0,6,0,6,1
438,0,6,1,6,1
439,0,6,0,6,1
440,0,5,1,6,1
441,0,4,0,6,1
442,0,3,1,6,1
443,0,2,0,6,1
444,0,1,5,6,2
445,1,0,4,6,2
446,2,1,3,5,1
447,2,0,2,4,1
448,2,5,1,3,1
449,2,4,0,2,1
450,2,3,6,1,0
451,1,2,6,0,1
452,1,1,6,5,1
453,1,0,6,4,1
454,1,1,6,3,1
455,1,0,6,2,1
456,1,3,5,1,1
457,1,2,4,0,1
458,1,1,3,5,2
459,2,0,2,4,1
460,2,5,1,3,1
461,2,4,0,2,1
462,2,3,6,1,0
463,1,2,6,0,1
464,1,1,6,3,1
465,1,0,6,2,1
466,1,3,6,1,1
467,1,2,6,0,1
468,1,1,6,6,1
469,1,0,6,6,1
470,1,1,6,6,1
471,1,0,6,6,1
472,1,1,6,5,1
473,1,0,6,4,1
474,1,1,6,3,1
475,1,0,6,2,1
476,1,3,6,1,1
477,1,2,6,0,1
478,1,1,5,3,1
479,1,0,4,2,1
480,1,5,3,1,0
481,0,4,2,0,1
482,0,3,1,5,1
483,0,2,0,4,1
484,0,1,6,3,2
485,1,0,6,2,1
486,1,6,5,1,0
487,0,6,4,0,1
488,0,6,3,1,1
489,0,6,2,0,1
490,0,5,1,3,1
491,0,4,0,2,1
492,0,3,6,1,2
493,1,2,6,0,1
494,1,1,6,6,1
495,1,0,6,6,1
496,1,1,6,6,1
497,1,0,6,6,1
498,1,1,6,6,1
499,1,0,6,6,1
500,1,1,5,6,2
501,2,0,4,6,1
502,2,1,3,5,1
503,2,0,2,4,1
504,2,5,1,3,1
505,2,4,0,2,1
506,2,3,5,1,0
507,1,2,4,0,1
508,1,1,3,6,2
509,2,0,2,6,1
510,2,6,1,6,1
511,2,6,0,6,1
512,2,5,1,6,1
513,2,4,0,6,1
514,2,3,1,6,1
515,2,2,0,6,1
516,2,1,3,6,1
517,2,0,2,6,1
518,2,3,1,6,1
519,2,2,0,6,1
520,2,1,3,6,1
521,2,0,2,6,1
522,2,3,1,6,1
523,2,2,0,6,1
524,2,1,5,6,1
525,2,0,4,6,1
526,2,1,3,5,1
527,2,0,2,4,1
528,2,5,1,3,1
529,2,4,0,2,1
530,2,3,6,1,0
531,1,2,6,0,1
532,1,1,6,6,1
533,1,0,6,6,1
534,1,1,6,5,1
535,1,0,6,4,1
536,1,1,6,3,1
537,1,0,6,2,1
538,1,3,6,1,1
539,1,2,6,0,1
540,1,1,6,3,1
541,1,0,6,2,1
542,1,3,6,1,1
543,1,2,6,0,1
544,1,1,6,5,1
545,1,0,6,4,1
546,1,1,6,3,1
547,1,0,6,2,1
548,1,3,6,1,1
549,1,2,6,0,1
550,1,1,5,3,1
551,1,0,4,2,1
552,1,6,3,1,0
553,0,6,2,0,1
554,0,5,1,6,1
555,0,4,0,6,1
556,0,3,1,6,1
557,0,2,0,6,1
558,0,1,3,6,2
559,1,0,2,6,2
560,2,3,1,6,1
561,2,2,0,6,1
562,2,1,6,5,0
563,1,0,6,4,1
564,1,1,6,3,1
565,1,0,6,2,1
566,1,3,6,1,1
567,1,2,6,0,1
568,1,1,6,3,1
569,1,0,6,2,1
570,1,3,6,1,1
571,1,2,6,0,1
572,1,1,5,6,2
573,2,0,4,6,1
574,2,1,3,6,1
575,2,0,2,6,1
576,2,3,1,6,1
577,2,2,0,6,1
578,2,1,3,6,1
579,2,0,2,6,1
580,2,5,1,6,1
581,2,4,0,6,1
582,2,3,1,6,1
583,2,2,0,6,1
584,2,1,6,5,0
585,1,0,6,4,1
586,1,1,6,3,1
587,1,0,6,2,1
588,1,3,6,1,1
589,1,2,6,0,1
590,1,1,5,3,1
591,1,0,4,2,1
592,1,5,3,1,0
593,0,4,2,0,1
594,0,3,1,5,1
595,0,2,0,4,1
596,0,1,6,3,2
597,1,0,6,2,1
598,1,5,6,1,1
599,1,4,6,0,1
600,1,3,5,1,1
601,1,2,4,0,1
602,1,1,3,6,2
603,2,0,2,6,1
604,2,3,1,6,1
605,2,2,0,6,1
606,2,1,5,6,1
607,2,0,4,6,1
608,2,1,3,5,1
609,2,0,2,4,1
610,2,5,1,3,1
611,2,4,0,2,1
612,2,3,5,1,0
613,1,2,4,0,1
614,1,1,3,6,2
615,2,0,2,6,1
616,2,3,1,6,1
617,2,2,0,6,1
618,2,1,3,5,1
619,2,0,2,4,1
620,2,5,1,3,1
621,2,4,0,2,1
622,2,3,6,1,0
623,1,2,6,0,1
624,1,1,5,6,2
625,2,0,4,6,1
626,2,1,3,5,1
627,2,0,2,4,1
628,2,5,1,3,1
629,2,4,0,2,1
630,2,3,5,1,0
631,1,2,4,0,1
632,1,1,3,5,2
633,2,0,2,4,1
634,2,6,1,3,1
635,2,6,0,2,1
636,2,6,3,1,0
637,1,6,2,0,0
638,0,5,1,6,1
639,0,4,0,6,1
640,0,3,1,6,1
641,0,2,0,6,1
642,0,1,3,5,2
643,1,0,2,4,2
644,2,6,1,3,1
645,2,6,0,2,1
646,2,5,3,1,0
647,1,4,2,0,0
648,0,3,1,6,1
649,0,2,0,6,1
650,0,1,6,6,2
651,1,0,6,6,1
652,1,1,6,6,1
653,1,0,6,6,1
654,1,1,6,5,1
655,1,0,6,4,1
656,1,1,6,3,1
657,1,0,6,2,1
658,1,6,5,1,0
659,0,6,4,0,1
660,0,6,3,1,1
661,0,6,2,0,1
662,0,5,1,3,1
663,0,4,0,2,1
664,0,3,6,1,2
665,1,2,6,0,1
666,1,1,5,3,1
667,1,0,4,2,1
668,1,5,3,1,0
669,0,4,2,0,1
670,0,3,1,6,1
671,0,2,0,6,1
672,0,1,3,6,2
673,1,0,2,6,2
674,2,3,1,6,1
675,2,2,0,6,1
676,2,1,6,5,0
677,1,0,6,4,1
678,1,1,6,3,1
679,1,0,6,2,1
680,1,3,6,1,1
681,1,2,6,0,1
682,1,1,6,5,1
683,1,0,6,4,1
684,1,1,6,3,1
685,1,0,6,2,1
686,1,6,5,1,0
687,0,6,4,0,1
688,0,6,3,1,1
689,0,6,2,0,1
690,0,6,1,5,1
691,0,6,0,4,1
692,0,6,1,3,1
693,0,6,0,2,1
694,0,5,3,1,1
695,0,4,2,0,1
696,0,3,1,6,1
697,0,2,0,6,1
698,0,1,6,6,2
699,1,0,6,6,1
700,1,1,6,6,1
701,1,0,6,6,1
702,1,1,6,5,1
703,1,0,6,4,1
704,1,1,5,3,1
705,1,0,4,2,1
706,1,6,3,1,0
707,0,6,2,0,1
708,0,5,1,3,1
709,0,4,0,2,1
710,0,3,5,1,2
711,1,2,4,0,1
712,1,1,3,5,2
713,2,0,2,4,1
714,2,6,1,3,1
715,2,6,0,2,1
716,2,6,5,1,0
717,1,6,4,0,0
718,0,6,3,1,1
719,0,6,2,0,1
720,0,6,1,3,1
721,0,6,0,2,1
722,0,6,3,1,1
723,0,6,2,0,1
724,0,5,1,3,1
725,0,4,0,2,1
726,0,3,6,1,2
727,1,2,6,0,1
728,1,1,6,3,1
729,1,0,6,2,1
730,1,3,5,1,1
731,1,2,4,0,1
732,1,1,3,5,2
733,2,0,2,4,1
734,2,6,1,3,1
735,2,6,0,2,1
736,2,5,6,1,0
737,1,4,6,0,1
738,1,3,6,1,1
739,1,2,6,0,1
740,1,1,6,6,1
741,1,0,6,6,1
742,1,1,5,6,2
743,2,0,4,6,1
744,2,1,3,6,1
745,2,0,2,6,1
746,2,5,1,6,1
747,2,4,0,6,1
748,2,3,1,5,1
749,2,2,0,4,1
750,2,1,5,3,0
751,1,0,4,2,1
752,1,6,3,1,0
753,0,6,2,0,1
754,0,5,1,6,1
755,0,4,0,6,1
756,0,3,1,6,1
757,0,2,0,6,1
758,0,1,3,6,2
759,1,0,2,6,2
760,2,6,1,6,1
761,2,6,0,6,1
762,2,5,1,6,1
763,2,4,0,6,1
764,2,3,1,5,1
765,2,2,0,4,1
766,2,1,6,3,0
767,1,0,6,2,1
768,1,5,6,1,1
769,1,4,6,0,1
770,1,3,5,1,1
771,1,2,4,0,1
772,1,1,3,6,2
773,2,0,2,6,1
774,2,3,1,5,1
775,2,2,0,4,1
776,2,1,6,3,0
777,1,0,6,2,1
778,1,3,6,1,1
779,1,2,6,0,1
780,1,1,5,3,1
781,1,0,4,2,1
782,1,5,3,1,0
783,0,4,2,0,1
784,0,3,1,6,1
785,0,2,0,6,1
786,0,1,6,5,2
787,1,0,6,4,1
788,1,1,5,3,1
789,1,0,4,2,1
790,1,6,3,1,0
791,0,6,2,0,1
792,0,6,1,3,1
793,0,6,0,2,1
794,0,6,6,1,1
795,0,6,6,0,1
796,0,5,6,1,2
797,1,4,6,0,1
798,1,3,6,1,1
799,1,2,6,0,1
800,1,1,6,6,1
801,1,0,6,6,1
802,1,1,6,6,1
803,1,0,6,6,1
804,1,1,6,6,1
805,1,0,6,6,1
806,1,1,6,5,1
807,1,0,6,4,1
808,1,1,6,3,1
809,1,0,6,2,1
810,1,3,6,1,1
811,1,2,6,0,1
812,1,1,6,6,1
813,1,0,6,6,1
814,1,1,6,6,1
815,1,0,6,6,1
816,1,1,6,6,1
817,1,0,6,6,1
818,1,1,6,5,1
819,1,0,6,4,1
820,1,1,6,3,1
821,1,0,6,2,1
822,1,5,6,1,1
823,1,4,6,0,1
824,1,3,5,1,1
825,1,2,4,0,1
826,1,1,3,5,2
827,2,0,2,4,1
828,2,6,1,3,1
829,2,6,0,2,1
830,2,5,6,1,0
831,1,4,6,0,1
832,1,3,5,1,1
833,1,2,4,0,1
834,1,1,3,6,2
835,2,0,2,6,1
836,2,3,1,5,1
837,2,2,0,4,1
838,2,1,6,3,0
839,1,0,6,2,1
840,1,6,6,1,0
841,0,6,6,0,1
842,0,6,6,1,1
843,0,6,6,0,1
844,0,5,6,1,2
845,1,4,6,0,1
846,1,3,6,1,1
847,1,2,6,0,1
848,1,1,6,5,1
849,1,0,6,4,1
850,1,1,6,3,1
851,1,0,6,2,1
852,1,6,5,1,0
853,0,6,4,0,1
854,0,6,3,1,1
855,0,6,2,0,1
856,0,6,1,3,1
857,0,6,0,2,1
858,0,6,5,1,1
859,0,6,4,0,1
860,0,6,3,1,1
861,0,6,2,0,1
862,0,6,1,6,1
863,0,6,0,6,1
864,0,6,1,6,1
865,0,6,0,6,1
866,0,6,1,5,1
867,0,6,0,4,1
868,0,6,1,3,1
869,0,6,0,2,1
870,0,5,3,1,1
871,0,4,2,0,1
872,0,3,1,5,1
873,0,2,0,4,1
874,0,1,6,3,2
875,1,0,6,2,1
876,1,6,5,1,0
877,0,6,4,0,1
878,0,6,3,1,1
879,0,6,2,0,1
880,0,6,1,3,1
881,0,6,0,2,1
882,0,6,3,1,1
883,0,6,2,0,1
884,0,5,1,6,1
885,0,4,0,6,1
886,0,3,1,6,1
887,0,2,0,6,1
888,0,1,3,6,2
889,1,0,2,6,2
890,2,3,1,6,1
891,2,2,0,6,1
892,2,1,3,6,1
893,2,0,2,6,1
894,2,3,1,5,1
895,2,2,0,4,1
896,2,1,6,3,0
897,1,0,6,2,1
898,1,3,5,1,1
899,1,2,4,0,1
900,1,1,3,6,2
901,2,0,2,6,1
902,2,6,1,5,1
903,2,6,0,4,1
904,2,6,1,3,1
905,2,6,0,2,1
906,2,6,3,1,0
907,1,6,2,0,0
908,0,6,1,3,1
909,0,6,0,2,1
910,0,6,3,1,1
911,0,6,2,0,1
912,0,6,1,3,1
913,0,6,0,2,1
914,0,6,6,1,1
915,0,6,6,0,1
916,0,6,5,1,1
917,0,6,4,0,1
918,0,5,3,1,1
919,0,4,2,0,1
920,0,3,1,6,1
921,0,2,0,6,1
922,0,1,5,6,2
923,1,0,4,6,2
924,2,1,3,5,1
925,2,0,2,4,1
926,2,6,1,3,1
927,2,6,0,2,1
928,2,5,3,1,0
929,1,4,2,0,0
930,0,3,1,6,1
931,0,2,0,6,1
932,0,1,6,5,2
933,1,0,6,4,1
934,1,1,6,3,1
935,1,0,6,2,1
936,1,6,5,1,0
937,0,6,4,0,1
938,0,5,3,1,1
939,0,4,2,0,1
940,0,3,1,6,1
941,0,2,0,6,1
942,0,1,6,6,2
943,1,0,6,6,1
944,1,1,6,5,1
945,1,0,6,4,1
946,1,1,5,3,1
947,1,0,4,2,1
948,1,6,3,1,0
949,0,6,2,0,1
950,0,6,1,3,1
951,0,6,0,2,1
952,0,6,3,1,1
953,0,6,2,0,1
954,0,6,1,5,1
955,0,6,0,4,1
956,0,6,1,3,1
957,0,6,0,2,1
958,0,5,3,1,1
959,0,4,2,0,1
960,0,3,1,5,1
961,0,2,0,4,1
962,0,1,6,3,2
963,1,0,6,2,1
964,1,3,6,1,1
965,1,2,6,0,1
966,1,1,6,6,1
967,1,0,6,6,1
968,1,1,6,6,1
969,1,0,6,6,1
970,1,1,6,5,1
971,1,0,6,4,1
972,1,1,6,3,1
973,1,0,6,2,1
974,1,6,6,1,0
975,0,6,6,0,1
976,0,6,6,1,1
977,0,6,6,0,1
978,0,6,6,1,1
979,0,6,6,0,1
980,0,5,6,1,2
981,1,4,6,0,1
982,1,3,6,1,1
983,1,2,6,0,1
984,1,1,5,3,1
985,1,0,4,2,1
986,1,6,3,1,0
987,0,6,2,0,1
988,0,6,1,5,1
989,0,6,0,4,1
990,0,5,1,3,1
991,0,4,0,2,1
992,0,3,6,1,2
993,1,2,6,0,1
994,1,1,5,3,1
995,1,0,4,2,1
996,1,6,3,1,0
997,0,6,2,0,1
998,0,6,1,6,1
999,0,6,0,6,1
1000,0,6,1,6,1
1001,0,6,0,6,1
1002,0,6,1,5,1
1003,0,6,0,4,1
1004,0,6,1,3,1
1005,0,6,0,2,1
1006,0,6,3,1,1
1007,0,6,2,0,1
1008,0,6,1,3,1
1009,0,6,0,2,1
1010,0,6,6,1,1
1011,0,6,6,0,1
1012,0,6,5,1,1
1013,0,6,4,0,1
1014,0,5,3,1,1
1015,0,4,2,0,1
1016,0,3,1,6,1
1017,0,2,0,6,1
1018,0,1,3,6,2
1019,1,0,2,6,2
1020,2,3,1,6,1
1021,2,2,0,6,1
1022,2,1,3,6,1
1023,2,0,2,6,1
1024,2,3,1,6,1
1025,2,2,0,6,1
1026,2,1,6,5,0
1027,1,0,6,4,1
1028,1,1,6,3,1
1029,1,0,6,2,1
1030,1,5,6,1,1
1031,1,4,6,0,1
1032,1,3,5,1,1
1033,1,2,4,0,1
1034,1,1,3,6,2
1035,2,0,2,6,1
1036,2,6,1,5,1
1037,2,6,0,4,1
1038,2,6,1,3,1
1039,2,6,0,2,1
1040,2,6,6,1,0
1041,1,6,6,0,0
1042,0,6,6,1,1
1043,0,6,6,0,1
1044,0,6,6,1,1
1045,0,6,6,0,1
1046,0,6,6,1,1
1047,0,6,6,0,1
1048,0,6,6,1,1
1049,0,6,6,0,1
1050,0,6,6,1,1
1051,0,6,6,0,1
1052,0,6,6,1,1
1053,0,6,6,0,1
1054,0,6,5,1,1
1055,0,6,4,0,1
1056,0,6,3,1,1
1057,0,6,2,0,1
1058,0,5,1,3,1
1059,0,4,0,2,1
1060,0,3,5,1,2
1061,1,2,4,0,1
1062,1,1,3,6,2
1063,2,0,2,6,1
1064,2,6,1,6,1
1065,2,6,0,6,1
1066,2,5,1,6,1
1067,2,4,0,6,1
1068,2,3,1,6,1
1069,2,2,0,6,1
1070,2,1,3,5,1
1071,2,0,2,4,1
1072,2,5,1,3,1
1073,2,4,0,2,1
1074,2,3,6,1,0
1075,1,2,6,0,1
1076,1,1,6,3,1
1077,1,0,6,2,1
1078,1,3,5,1,1
1079,1,2,4,0,1
1080,1,1,3,6,2
1081,2,0,2,6,1
1082,2,3,1,5,1
1083,2,2,0,4,1
1084,2,1,6,3,0
1085,1,0,6,2,1
1086,1,3,5,1,1
1087,1,2,4,0,1
1088,1,1,3,6,2
1089,2,0,2,6,1
1090,2,3,1,6,1
1091,2,2,0,6,1
1092,2,1,3,5,1
1093,2,0,2,4,1
1094,2,5,1,3,1
1095,2,4,0,2,1
1096,2,3,6,1,0
1097,1,2,6,0,1
1098,1,1,5,6,2
1099,2,0,4,6,1
1100,2,1,3,6,1
1101,2,0,2,6,1
1102,2,6,1,6,1
1103,2,6,0,6,1
1104,2,6,1,5,1
1105,2,6,0,4,1
1106,2,5,1,3,1
1107,2,4,0,2,1
1108,2,3,6,1,0
1109,1,2,6,0,1
1110,1,1,6,3,1
1111,1,0,6,2,1
1112,1,5,6,1,1
1113,1,4,6,0,1
1114,1,3,5,1,1
1115,1,2,4,0,1
1116,1,1,3,5,2
1117,2,0,2,4,1
1118,2,6,1,3,1
1119,2,6,0,2,1
1120,2,6,6,1,0
1121,1,6,6,0,0
1122,0,5,6,1,2
1123,1,4,6,0,1
1124,1,3,6,1,1
1125,1,2,6,0,1
1126,1,1,6,3,1
1127,1,0,6,2,1
1128,1,3,6,1,1
1129,1,2,6,0,1
1130,1,1,6,3,1
1131,1,0,6,2,1
1132,1,6,6,1,0
1133,0,6,6,0,1
1134,0,5,6,1,2
1135,1,4,6,0,1
1136,1,3,6,1,1
1137,1,2,6,0,1
1138,1,1,6,3,1
1139,1,0,6,2,1
1140,1,6,5,1,0
1141,0,6,4,0,1
1142,0,6,3,1,1
1143,0,6,2,0,1
1144,0,5,1,3,1
1145,0,4,0,2,1
1146,0,3,6,1,2
1147,1,2,6,0,1
1148,1,1,6,5,1
1149,1,0,6,4,1
1150,1,1,6,3,1
1151,1,0,6,2,1
